forecast_date,forecast_temp_c,forecast_winter_demand,forecast_summer_demand,forecast_inventory,sales,lost_sales,excess_inventory
2013-01-01,-6.319,624,0,707,624,0,83
2013-02-01,-6.501,560,0,600,560,0,40
2013-03-01,-2.334,0,0,0,0,0,0
2013-04-01,5.087,0,0,0,0,0,0
2013-05-01,11.448,0,33,43,33,0,10
2013-06-01,16.632,0,47,56,47,0,9
2013-07-01,18.942,0,129,127,127,0,0
2013-08-01,18.964,0,52,56,52,0,4
2013-09-01,14.713,191,9,230,200,0,30
2013-10-01,7.487,228,5,259,233,0,26
2013-11-01,2.25,340,0,362,340,0,23
2013-12-01,-4.723,616,0,708,616,0,92
2014-01-01,-6.283,621,0,690,621,0,69
2014-02-01,-6.465,557,0,602,557,0,46
2014-03-01,-2.298,0,0,0,0,0,0
2014-04-01,5.123,0,0,0,0,0,0
2014-05-01,11.483,0,31,32,31,0,2
2014-06-01,16.668,0,45,44,44,0,0
2014-07-01,18.978,0,127,131,127,0,4
2014-08-01,18.999,0,50,53,50,0,3
2014-09-01,14.749,188,7,237,195,0,42
2014-10-01,7.522,225,3,264,228,0,36
2014-11-01,2.285,337,0,379,337,0,42
2014-12-01,-4.687,613,0,596,596,0,0
2015-01-01,-6.247,617,0,654,617,0,37
2015-02-01,-6.429,553,0,646,553,0,92
2015-03-01,-2.262,0,0,0,0,0,0
2015-04-01,5.159,0,0,0,0,0,0
2015-05-01,11.519,0,28,28,28,0,0
2015-06-01,16.704,0,43,46,43,0,4
2015-07-01,19.014,0,125,126,125,0,1
2015-08-01,19.035,0,48,54,48,0,6
2015-09-01,14.785,185,5,221,190,0,31
2015-10-01,7.558,222,1,249,223,0,26
2015-11-01,2.321,333,0,392,333,0,59
2015-12-01,-4.651,610,0,703,610,0,93
2016-01-01,-6.211,614,0,662,614,0,48
2016-02-01,-6.394,550,0,649,550,0,99
2016-03-01,-2.227,0,0,0,0,0,0
2016-04-01,5.194,0,0,0,0,0,0
2016-05-01,11.555,0,26,27,26,0,1
2016-06-01,16.739,0,41,44,41,0,4
2016-07-01,19.049,0,123,133,123,0,10
2016-08-01,19.071,0,46,49,46,0,4
2016-09-01,14.82,182,3,217,185,0,32
2016-10-01,7.594,218,0,236,218,0,18
2016-11-01,2.357,330,0,320,320,0,0
2016-12-01,-4.615,606,0,712,606,0,105
2017-01-01,-6.176,611,0,668,611,0,57
2017-02-01,-6.358,547,0,629,547,0,82
2017-03-01,-2.191,0,0,0,0,0,0
2017-04-01,5.23,0,0,0,0,0,0
2017-05-01,11.59,0,24,29,24,0,5
2017-06-01,16.775,0,39,40,39,0,2
2017-07-01,19.085,0,121,150,121,0,29
2017-08-01,19.106,0,44,53,44,0,9
2017-09-01,14.856,179,1,191,179,0,11
2017-10-01,7.629,215,0,251,215,0,36
2017-11-01,2.393,327,0,357,327,0,30
2017-12-01,-4.58,603,0,697,603,0,93
2018-01-01,-6.14,608,0,669,608,0,61
2018-02-01,-6.322,544,0,548,544,0,4
2018-03-01,-2.155,0,0,0,0,0,0
2018-04-01,5.266,0,0,0,0,0,0
2018-05-01,11.626,0,22,23,22,0,1
2018-06-01,16.811,0,36,40,36,0,3
2018-07-01,19.121,0,119,122,119,0,3
2018-08-01,19.142,0,42,46,42,0,4
2018-09-01,14.892,175,0,168,168,0,0
2018-10-01,7.665,212,0,232,212,0,20
2018-11-01,2.428,324,0,379,324,0,55
2018-12-01,-4.544,600,0,595,595,0,0
2019-01-01,-6.104,605,0,664,605,0,59
2019-02-01,-6.287,541,0,588,541,0,47
2019-03-01,-2.119,0,0,0,0,0,0
2019-04-01,5.301,0,0,0,0,0,0
2019-05-01,11.662,0,20,21,20,0,1
2019-06-01,16.846,0,34,39,34,0,5
2019-07-01,19.157,0,117,137,117,0,20
2019-08-01,19.178,0,40,44,40,0,4
2019-09-01,14.928,172,0,203,172,0,31
2019-10-01,7.701,209,0,232,209,0,24
2019-11-01,2.464,321,0,337,321,0,16
2019-12-01,-4.508,597,0,673,597,0,76
2020-01-01,-6.069,601,0,691,601,0,90
2020-02-01,-6.251,537,0,575,537,0,38
2020-03-01,-2.084,0,0,0,0,0,0
2020-04-01,5.337,0,0,0,0,0,0
2020-05-01,11.698,0,18,19,18,0,0
2020-06-01,16.882,0,32,39,32,0,6
2020-07-01,19.192,0,115,133,115,0,18
2020-08-01,19.214,0,38,45,38,0,7
2020-09-01,14.963,169,0,180,169,0,11
2020-10-01,7.737,206,0,227,206,0,21
2020-11-01,2.5,317,0,292,292,0,0
2020-12-01,-4.473,594,0,652,594,0,58
2021-01-01,-6.033,598,0,747,598,0,149
2021-02-01,-6.215,534,0,510,510,0,0
2021-03-01,-2.048,0,0,0,0,0,0
2021-04-01,5.373,0,0,0,0,0,0
2021-05-01,11.733,0,16,19,16,0,3
2021-06-01,16.918,0,30,31,30,0,1
2021-07-01,19.228,0,113,125,113,0,13
2021-08-01,19.249,0,36,42,36,0,6
2021-09-01,14.999,166,0,204,166,0,38
2021-10-01,7.772,203,0,259,203,0,56
2021-11-01,2.535,314,0,313,313,0,0
2021-12-01,-4.437,591,0,775,591,0,185
2022-01-01,-5.997,595,0,631,595,0,36
2022-02-01,-6.179,531,0,544,531,0,13
2022-03-01,-2.012,0,0,0,0,0,0
2022-04-01,5.409,0,0,0,0,0,0
2022-05-01,11.769,0,14,17,14,0,3
2022-06-01,16.954,0,28,33,28,0,4
2022-07-01,19.264,0,111,107,107,0,0
2022-08-01,19.285,0,34,39,34,0,6
2022-09-01,15.035,163,0,175,163,0,12
2022-10-01,7.808,199,0,229,199,0,30
2022-11-01,2.571,311,0,330,311,0,18
2022-12-01,-4.401,587,0,666,587,0,79
2023-01-01,-5.961,592,0,630,592,0,38
2023-02-01,-6.144,528,0,585,528,0,57
2023-03-01,-1.977,0,0,0,0,0,0
2023-04-01,5.444,0,0,0,0,0,0
2023-05-01,11.805,0,12,12,12,0,1
2023-06-01,16.989,0,26,31,26,0,5
2023-07-01,19.299,0,109,105,105,0,0
2023-08-01,19.321,0,31,35,31,0,3
2023-09-01,15.07,159,0,164,159,0,5
2023-10-01,7.844,196,0,222,196,0,26
2023-11-01,2.607,308,0,305,305,0,0
2023-12-01,-4.365,584,0,625,584,0,41
2024-01-01,-5.926,589,0,639,589,0,50
2024-02-01,-6.108,525,0,520,520,0,0
2024-03-01,-1.941,0,0,0,0,0,0
2024-04-01,5.48,0,0,0,0,0,0
2024-05-01,11.84,0,10,11,10,0,1
2024-06-01,17.025,0,24,26,24,0,2
2024-07-01,19.335,0,106,105,105,0,0
2024-08-01,19.356,0,29,33,29,0,4
2024-09-01,15.106,156,0,184,156,0,28
2024-10-01,7.879,193,0,193,193,0,0
2024-11-01,2.643,305,0,329,305,0,24
2024-12-01,-4.33,581,0,653,581,0,72
