year,month,country,avg_temp_c,avg_temp_f
2000,2,Canada,-5.14084,22.7465
2000,3,Canada,1.5134,34.7241
2000,4,Canada,4.92344,40.8622
2000,5,Canada,11.29096,52.3237
2000,6,Canada,15.31016,59.5583
2000,7,Canada,17.78056,64.005
2000,8,Canada,17.55724,63.603
2000,9,Canada,13.08,55.544
2000,10,Canada,7.9614,46.3305
2000,11,Canada,0.59364,33.0686
2000,12,Canada,-9.21172,15.4189
2001,1,Canada,-6.02204,21.1603
2001,2,Canada,-7.43468,18.6176
2001,3,Canada,-1.85036,28.6694
2001,4,Canada,5.41168,41.741
2001,5,Canada,12.5686,54.6235
2001,6,Canada,16.21492,61.1869
2001,7,Canada,18.10964,64.5974
2001,8,Canada,19.5176,67.1317
2001,9,Canada,14.2524,57.6543
2001,10,Canada,7.57128,45.6283
2001,11,Canada,3.855,38.939
2001,12,Canada,-2.49776,27.504
2002,1,Canada,-4.81,23.342
2002,2,Canada,-4.22328,24.3981
2002,3,Canada,-3.78544,25.1862
2002,4,Canada,4.47852,40.0613
2002,5,Canada,9.3612,48.8502
2002,6,Canada,16.2198,61.1956
2002,7,Canada,19.74284,67.5371
2002,8,Canada,18.53324,65.3598
2002,9,Canada,15.39532,59.7116
2002,10,Canada,5.45792,41.8243
2002,11,Canada,0.7638,33.3748
2002,12,Canada,-4.03364,24.7394
2003,1,Canada,-9.50568,14.8898
2003,2,Canada,-9.30404,15.2527
2003,3,Canada,-2.80956,26.9428
2003,4,Canada,3.945,39.101
2003,5,Canada,10.90928,51.6367
2003,6,Canada,16.06316,60.9137
2003,7,Canada,18.94172,66.0951
2003,8,Canada,19.35916,66.8465
2003,9,Canada,14.51516,58.1273
2003,10,Canada,7.52328,45.5419
2003,11,Canada,0.47768,32.8598
2003,12,Canada,-3.8106,25.1409
2004,1,Canada,-11.77288,10.8088
2004,2,Canada,-5.90316,21.3743
2004,3,Canada,-0.06676,31.8798
2004,4,Canada,5.63224,42.138
2004,5,Canada,10.88584,51.5945
2004,6,Canada,15.1044,59.1879
2004,7,Canada,18.54552,65.3819
2004,8,Canada,17.1506,62.8711
2004,9,Canada,14.3466,57.8239
2004,10,Canada,7.63012,45.7342
2004,11,Canada,2.09324,35.7678
2004,12,Canada,-5.65532,21.8204
2005,1,Canada,-9.58456,14.7478
2005,2,Canada,-5.59556,21.928
2005,3,Canada,-2.23252,27.9815
2005,4,Canada,6.21728,43.1911
2005,5,Canada,10.55808,51.0045
2005,6,Canada,17.61644,63.7096
2005,7,Canada,19.52112,67.138
2005,8,Canada,18.72548,65.7059
2005,9,Canada,14.94384,58.8989
2005,10,Canada,8.58508,47.4531
2005,11,Canada,2.09208,35.7657
2005,12,Canada,-5.06716,22.8791
2006,1,Canada,-2.82764,26.9102
2006,2,Canada,-6.37736,20.5208
2006,3,Canada,-1.42116,29.4419
