table,key,value
country_factor,USA,1
country_factor,Canada,1.2
country_factor,UK,0.9
country_factor,Germany,1.1
country_factor,Australia,0.85
country_factor,Japan,1.05
country_factor,Brazil,0.7
season_factor,1,1.3
season_factor,2,1.25
season_factor,3,0.8
season_factor,4,0.7
season_factor,5,0.75
season_factor,6,1.2
season_factor,7,1.35
season_factor,8,1.25
season_factor,9,0.8
season_factor,10,0.85
season_factor,11,1
season_factor,12,1.4
season_name,1,Winter
season_name,2,Winter
season_name,3,Spring
season_name,4,Spring
season_name,5,Spring
season_name,6,Summer
season_name,7,Summer
season_name,8,Summer
season_name,9,Fall
season_name,10,Fall
season_name,11,Fall
season_name,12,Winter
parameter,NoiseMean,0
parameter,NoiseStdDev,50
parameter,WinterBaseCoeff,5
parameter,SummerBaseCoeff,5
parameter,InvBufferPct,0.1
