forecast_date,forecast_temp_c,forecast_winter_demand,forecast_summer_demand,forecast_inventory,sales,lost_sales,excess_inventory
2013-10-01,15.853,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-11-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-12-01,5.8342,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-01-01,5.2388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-02-01,6.5325,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-03-01,9.8137,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-04-01,14.3726,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-05-01,18.759,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-06-01,22.7306,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-07-01,24.8184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-08-01,24.9015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-09-01,21.6871,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-10-01,15.8211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-11-01,10.5716,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2014-12-01,5.8024,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-01-01,5.2069,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-02-01,6.5007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-03-01,9.7818,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-04-01,14.3408,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-05-01,18.7272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-06-01,22.6988,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-07-01,24.7865,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-08-01,24.8697,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-09-01,21.6552,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-10-01,15.7893,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-11-01,10.5397,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015-12-01,5.7705,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-01-01,5.1751,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-02-01,6.4688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-03-01,9.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-04-01,14.3089,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-05-01,18.6953,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-06-01,22.6669,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-07-01,24.7547,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-08-01,24.8378,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-09-01,21.6234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-10-01,15.7574,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-11-01,10.5079,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016-12-01,5.7386,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-01-01,5.1432,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-02-01,6.4369,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-03-01,9.7181,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-04-01,14.2771,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-05-01,18.6635,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-06-01,22.6351,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-07-01,24.7228,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-08-01,24.8059,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-09-01,21.5915,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-10-01,15.7256,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-11-01,10.476,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2017-12-01,5.7068,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-01-01,5.1114,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-02-01,6.4051,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-03-01,9.6862,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-04-01,14.2452,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-05-01,18.6316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-06-01,22.6032,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-07-01,24.691,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-08-01,24.7741,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-09-01,21.5596,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-10-01,15.6937,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-11-01,10.4441,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2018-12-01,5.6749,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-01-01,5.0795,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-02-01,6.3732,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-03-01,9.6544,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-04-01,14.2133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-05-01,18.5997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-06-01,22.5713,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-07-01,24.6591,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-08-01,24.7422,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-09-01,21.5278,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-10-01,15.6618,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-11-01,10.4123,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2019-12-01,5.6431,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-01-01,5.0476,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-02-01,6.3414,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-03-01,9.6225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-04-01,14.1815,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-05-01,18.5679,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-06-01,22.5395,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-07-01,24.6272,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-08-01,24.7103,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-09-01,21.4959,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-10-01,15.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-11-01,10.3804,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-12-01,5.6112,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-01-01,5.0158,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-02-01,6.3095,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-03-01,9.5907,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-04-01,14.1496,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-05-01,18.536,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-06-01,22.5076,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-07-01,24.5954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-08-01,24.6785,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-09-01,21.4641,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-10-01,15.5981,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-11-01,10.3486,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2021-12-01,5.5793,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-01-01,4.9839,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-02-01,6.2776,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-03-01,9.5588,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-04-01,14.1177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-05-01,18.5042,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-06-01,22.4757,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-07-01,24.5635,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-08-01,24.6466,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-09-01,21.4322,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-10-01,15.5663,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-11-01,10.3167,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2022-12-01,5.5475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-01-01,4.9521,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-02-01,6.2458,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-03-01,9.5269,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-04-01,14.0859,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-05-01,18.4723,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-06-01,22.4439,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-07-01,24.5316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-08-01,24.6148,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-09-01,21.4003,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-10-01,15.5344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-11-01,10.2848,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2023-12-01,5.5156,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-01-01,4.9202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-02-01,6.2139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-03-01,9.4951,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-04-01,14.054,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-05-01,18.4404,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-06-01,22.412,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-07-01,24.4998,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-08-01,24.5829,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-09-01,21.3685,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-10-01,15.5025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-11-01,10.253,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2024-12-01,5.4838,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-01-01,4.8883,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-02-01,6.1821,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-03-01,9.4632,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-04-01,14.0222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-05-01,18.4086,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-06-01,22.3802,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-07-01,24.4679,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-08-01,24.551,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-09-01,21.3366,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-10-01,15.4707,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-11-01,10.2211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2025-12-01,5.4519,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-01-01,4.8565,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-02-01,6.1502,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-03-01,9.4314,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-04-01,13.9903,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-05-01,18.3767,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-06-01,22.3483,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-07-01,24.4361,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-08-01,24.5192,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-09-01,21.3048,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-10-01,15.4388,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-11-01,10.1893,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2026-12-01,5.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2027-01-01,4.8246,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2027-02-01,6.1183,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2027-03-01,9.3995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2027-04-01,13.9584,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2027-05-01,18.3449,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
