date,year,month,country,avg_temp_c,avg_temp_f,country_factor,season_factor,winter_demand,summer_demand,total_demand,inventory,sales,lost_sales,excess_inventory
2000-02-01,2000,2,United States,8.115902724,46.6086,1,1.25,641.5164,0,641.5164,719.8767,641.5164,0,78.3602
2000-03-01,2000,3,United States,11.34758366,52.4257,1,0.8,0,0,0,0,0,0,0
2000-04-01,2000,4,United States,14.12654864,57.4278,1,0.7,0,0,0,0,0,0,0
2000-05-01,2000,5,United States,19.61445525,67.306,1,0.75,0,0,0,0,0,0,0
2000-06-01,2000,6,United States,22.74344358,72.9382,1,1.2,0,0,0,0,0,0,0
2000-07-01,2000,7,United States,24.17882101,75.5219,1,1.35,0,0,0,0,0,0,0
2000-08-01,2000,8,United States,24.63271984,76.3389,1,1.25,0,0,0,0,0,0,0
2000-09-01,2000,9,United States,21.31657588,70.3698,1,0.8,411.6181,0,411.6181,476.598,411.6181,0,64.9799
2000-10-01,2000,10,United States,15.80096109,60.4417,1,0.85,282.9519,0,282.9519,316.9311,282.9519,0,33.9792
2000-11-01,2000,11,United States,8.515560311,47.328,1,1,405.6916,0,405.6916,470.0411,405.6916,0,64.3495
2000-12-01,2000,12,United States,3.700560311,38.661,1,1.4,633.229,0,633.229,675.7138,633.229,0,42.4848
2001-01-01,2001,1,United States,4.024832685,39.2447,1,1.3,661.4291,0,661.4291,707.0349,661.4291,0,45.6059
2001-02-01,2001,2,United States,6.383389105,43.4901,1,1.25,582.4603,0,582.4603,755.5265,582.4603,0,173.0662
2001-03-01,2001,3,United States,9.097762646,48.376,1,0.8,0,0,0,0,0,0,0
2001-04-01,2001,4,United States,14.21292607,57.5833,1,0.7,0,0,0,0,0,0,0
2001-05-01,2001,5,United States,19.5979144,67.2762,1,0.75,0,0,0,0,0,0,0
2001-06-01,2001,6,United States,22.81949805,73.0751,1,1.2,0,0,0,0,0,0,0
2001-07-01,2001,7,United States,24.43839689,75.9891,1,1.35,0,0,0,0,0,0,0
2001-08-01,2001,8,United States,24.88105058,76.7859,1,1.25,0,0,0,0,0,0,0
2001-09-01,2001,9,United States,20.97303113,69.7515,1,0.8,300.3912,0,300.3912,396.7826,300.3912,0,96.3914
2001-10-01,2001,10,United States,15.97770817,60.7599,1,0.85,295.0652,0,295.0652,306.4033,295.0652,0,11.3381
2001-11-01,2001,11,United States,12.42866926,54.3716,1,1,447.8027,0,447.8027,499.3272,447.8027,0,51.5245
2001-12-01,2001,12,United States,7.22029572,44.9965,1,1.4,657.3568,0,657.3568,823.5816,657.3568,0,166.2248
2002-01-01,2002,1,United States,6.133474708,43.0403,1,1.3,629.8321,0,629.8321,717.7013,629.8321,0,87.8692
2002-02-01,2002,2,United States,7.215579767,44.988,1,1.25,516.1333,0,516.1333,528.216,516.1333,0,12.0827
2002-03-01,2002,3,United States,9.229416342,48.6129,1,0.8,0,0,0,0,0,0,0
2002-04-01,2002,4,United States,14.98544747,58.9738,1,0.7,0,0,0,0,0,0,0
2002-05-01,2002,5,United States,17.72644747,63.9076,1,0.75,0,0,0,0,0,0,0
2002-06-01,2002,6,United States,23.01092607,73.4197,1,1.2,0,0,0,0,0,0,0
2002-07-01,2002,7,United States,25.36684436,77.6603,1,1.35,0,0,0,0,0,0,0
2002-08-01,2002,8,United States,24.59231907,76.2662,1,1.25,0,0,0,0,0,0,0
2002-09-01,2002,9,United States,22.26124903,72.0702,1,0.8,247.9421,0,247.9421,259.1207,247.9421,0,11.1786
2002-10-01,2002,10,United States,15.15027626,59.2705,1,0.85,391.8315,0,391.8315,420.8779,391.8315,0,29.0464
2002-11-01,2002,11,United States,10.18161479,50.3269,1,1,408.7889,0,408.7889,410.5642,408.7889,0,1.7753
2002-12-01,2002,12,United States,5.850175097,42.5303,1,1.4,569.7849,0,569.7849,595.2964,569.7849,0,25.5115
2003-01-01,2003,1,United States,4.88281323,40.7891,1,1.3,557.5324,0,557.5324,591.9193,557.5324,0,34.3869
2003-02-01,2003,2,United States,5.294540856,41.5302,1,1.25,582.2274,0,582.2274,476.6025,476.6025,0,0
2003-03-01,2003,3,United States,10.41054086,50.739,1,0.8,0,0,0,0,0,0,0
2003-04-01,2003,4,United States,13.30525681,55.9495,1,0.7,0,0,0,0,0,0,0
2003-05-01,2003,5,United States,18.35642412,65.0416,1,0.75,0,0,0,0,0,0,0
2003-06-01,2003,6,United States,21.82096109,71.2777,1,1.2,0,0,0,0,0,0,0
2003-07-01,2003,7,United States,25.32766926,77.5898,1,1.35,0,0,0,0,0,0,0
2003-08-01,2003,8,United States,25.08477821,77.1526,1,1.25,0,0,0,0,0,0,0
2003-09-01,2003,9,United States,21.32671595,70.3881,1,0.8,272.9797,0,272.9797,293.8481,272.9797,0,20.8684
2003-10-01,2003,10,United States,16.78126459,62.2063,1,0.85,294.1856,0,294.1856,287.5801,287.5801,0,0
2003-11-01,2003,11,United States,10.8611323,51.55,1,1,403.4733,0,403.4733,459.3123,403.4733,0,55.8391
2003-12-01,2003,12,United States,6.16640856,43.0995,1,1.4,665.9896,0,665.9896,823.1988,665.9896,0,157.2092
2004-01-01,2004,1,United States,4.037229572,39.267,1,1.3,605.3757,0,605.3757,614.9571,605.3757,0,9.5814
2004-02-01,2004,2,United States,5.445536965,41.802,1,1.25,505.5025,0,505.5025,566.3906,505.5025,0,60.888
2004-03-01,2004,3,United States,12.20526848,53.9695,1,0.8,0,0,0,0,0,0,0
2004-04-01,2004,4,United States,14.42302335,57.9614,1,0.7,0,0,0,0,0,0,0
2004-05-01,2004,5,United States,19.52374319,67.1427,1,0.75,0,0,0,0,0,0,0
