Item,USD millions
Present value of mine-life FCFF (2026-2045),2821.34251717963
Roll-forward to 2026-08-05 at WACC,199.15495079178663
Enterprise value (core producing assets),3020.4974679714164
Risk-weighted value of Soto Norte and Toroparu,411.64281622521867
Total enterprise value,3432.140284196635
Less: borrowings,-519.5
Add: cash and cash equivalents,391.9
Less: lease liabilities,-6.1
Less: contract liabilities (gold prepay and stream obligations),-200.8
Less: reclamation provisions,-34.8
Less: non-controlling interests,-0.0
Equity value,3062.840284196635
Diluted shares outstanding (millions),209.1
Intrinsic value per share (USD),14.647729718778741
