year,EBIT (USD m),Normalised tax rate,Taxes on EBIT (USD m),NOPAT (USD m),Depreciation and depletion (USD m),Sustaining capital expenditure (USD m),Growth capital expenditure (USD m),Increase in net working capital (USD m),FCFF (USD m),Discount period (years),Discount factor,PV of FCFF (USD m)
2026,590.0725171883909,0.35,-206.5253810159368,383.5471361724541,109.79388281160954,-58.239,-280.0,-54.27065286930349,100.83136611476016,0.5,0.9442127655320959,95.20626305159695
2027,571.011723681664,0.35,-199.85410328858237,371.15762039308163,151.86059131833622,-75.5285463,-125.0,-10.738125134578326,311.7515402768395,1.5,0.841801321287555,262.4328585184739
2028,600.9413639687282,0.35,-210.32947738905486,390.6118865796733,195.6419264959716,-93.36794679131,-55.0,-7.789980351546362,430.09588593278846,2.5,0.7504976530603639,322.7859529834757
2029,617.8641093532373,0.35,-216.25243827363303,401.6116710796042,226.50231411031052,-104.10838958908717,-30.0,-1.4138221270191949,492.5917734738083,3.5,0.6690969864333488,329.59167117318395
2030,536.0511814889742,0.35,-187.61791352114096,348.4332679678332,242.84257952085605,-107.51131273903351,-20.0,-2.6923831112241317,461.0721516384316,4.5,0.5965252195374692,275.04116647872866
2031,537.8261814353981,0.35,-188.23916350238932,349.5870179330088,258.436910444951,-109.90881501311398,-16.0,-2.103631610707154,480.01148175413863,5.5,0.5318247500127884,255.2819862871629
2032,537.437589147011,0.35,-188.10315620145383,349.3344329455571,276.58216968227015,-112.35978158790641,-16.0,-2.3433203848173605,495.2135006551034,6.5,0.47414183920919567,234.80144000183495
2033,534.0450953968749,0.35,-186.9157833889062,347.1293120079687,298.12730405429915,-114.86540471731672,-16.0,-2.6576595665990865,511.7335517783519,7.5,0.42271534689439133,216.31762585748498
2034,526.3064051610621,0.35,-184.20724180637174,342.0991633546904,324.4234387978735,-117.42690324251285,-16.0,-3.09059796400102,530.00510094605,8.5,0.3768666878208288,199.7412669216819
2035,511.88417983136833,0.35,-179.1594629409789,332.72471689038946,357.8169396478516,-120.0455231848209,-16.0,-3.7292274999901593,550.76690585343,9.5,0.335990877626039,185.05265606507194
2036,486.1509946846288,0.35,-170.15284813962006,315.99814654500875,402.94445975897753,-122.72253835184243,-16.0,-4.773956890056901,575.446111062087,10.5,0.29954854991478147,172.37404812274843
2037,207.2298709410712,0.35,-72.53045482937492,134.69941611169628,231.66872660806797,-65.92148616585864,-16.0,29.78506659955884,314.23172315346443,11.5,0.2670588391864553,83.91835922092379
2038,129.58808552096846,0.35,-45.355829932338956,84.2322555886295,194.41762614869162,-51.59831452090142,-16.0,6.89506959986452,217.94663681628424,12.5,0.23809303569624,51.89157637937502
2039,112.9090467803822,0.35,-39.51816637313377,73.39088040724843,218.32199225951132,-52.74895693471752,-16.0,-1.615131026896444,221.34878470514576,13.5,0.21226892852429552,46.985469359516266
2040,83.02190690706897,0.35,-29.057667417474136,53.96423948959483,255.5955843034142,-53.92525867436173,-16.0,-2.7945858110672956,236.83997930758005,14.5,0.18924576220842415,44.82096240549039
2041,6.073705977836964,0.35,-2.1257970922429372,3.9479088855940265,288.1936775916836,-48.29194574189279,-16.0,-0.7552008705843436,227.09443986480048,15.5,0.16871974039171864,38.31531493839189
2042,0.0,0.35,-0.0,0.0,0.0,-0.0,-0.0,45.00658498222044,45.00658498222044,16.5,0.15042001715471848,6.769891285100893
2043,0.0,0.35,-0.0,0.0,0.0,-0.0,-0.0,0.08771233612407509,0.08771233612407509,17.5,0.13410512313671374,0.011762673636527915
2044,0.0,0.35,-0.0,0.0,0.0,-0.0,-0.0,0.009993483135844028,0.009993483135844028,18.5,0.11955977928798563,0.0011948186380397186
2045,0.0,0.35,-0.0,0.0,0.0,-0.0,-0.0,0.009856617368847187,0.009856617368847187,19.5,0.10659205620965903,0.0010506371126172609
