season,player,player_id,lg,mp,g,wins_above_average,mp_per_game,prev_wins_above_average,prev_mp,prev_g,career_season_num,season_idx,expected_wins_above_average,value_residual,undervalued_score,season_residual_z,is_all_star
2017,Rudy Gobert,goberru01,NBA,2744.0,81,21.2089023518628,33.876543209876544,8.007357962391948,1932.0,61.0,4,65,10.537680649881867,10.671221701980933,17.67690371217772,3.4944793608445655,False
2019,Rudy Gobert,goberru01,NBA,2577.0,81,21.21412534854029,31.814814814814813,10.058852712443151,1816.0,56.0,6,67,10.633630593803778,10.580494754736511,16.984907478998895,3.2305875209806336,False
2026,Luka Dončić,doncilu01,NBA,1410.0,39,18.13862800564474,36.15384615384615,8.396390255783045,1769.0,50.0,8,74,3.9413321655706532,14.197295840074087,16.858354751592007,5.443578036838123,False
2006,Chris Paul,paulch01,NBA,2808.0,78,19.486416989957597,36.0,0.0,0.0,0.0,1,54,9.517126522131994,9.969290467825603,16.705627819052914,3.3485920519367496,False
2001,Shawn Marion,mariosh01,NBA,2857.0,79,19.001262186540725,36.164556962025316,1.7996242392194883,1260.0,51.0,2,49,9.404217454712635,9.59704473182809,16.221560821619924,3.4676960048564367,False
1999,Shaquille O'Neal,onealsh01,NBA,1705.0,49,20.57493758531487,34.795918367346935,16.870163119976393,2175.0,60.0,7,47,8.273695470650376,12.301242114664495,16.062426673635905,3.697951868096707,False
2025,Shai Gilgeous-Alexander,gilgesh01,NBA,2598.0,76,25.972422374548938,34.18421052631579,22.365160033354503,2553.0,75.0,7,73,16.05092557030727,9.921496804241666,15.991778662094738,3.6586275237058037,False
2001,Dirk Nowitzki,nowitdi01,NBA,3125.0,82,20.913897904634823,38.109756097560975,10.318627432043876,2938.0,82.0,3,49,11.892614138295599,9.021283766339224,15.947527315466457,3.260645176602423,False
1999,Darrell Armstrong,armstda01,NBA,1502.0,50,14.157749378249914,30.04,1.6914890474417872,1236.0,48.0,5,47,1.545104434727664,12.61264494352225,15.457566960294196,3.8139715340898426,False
2024,Domantas Sabonis,sabondo01,NBA,2928.0,82,27.308200960929433,35.707317073170735,23.521423552778533,2736.0,79.0,8,72,18.302225400418326,9.005975560511107,15.410484758508423,2.9893026570958234,False
2026,Tyrese Maxey,maxeyty01,NBA,1796.0,46,15.388288626616244,39.04347826086956,6.270381646032334,1960.0,52.0,6,74,4.569479416377595,10.81880921023865,14.498818999445097,3.9427994454640567,False
1999,Jason Kidd,kiddja01,NBA,2060.0,50,18.01738345749241,41.2,15.34153395610242,3118.0,82.0,5,47,7.955832741968404,10.061550715524007,14.44104199045855,2.863507784820018,False
1998,Sam Cassell,cassesa01,NBA,2606.0,75,12.240089688595042,34.74666666666667,-5.818031949845762,1714.0,61.0,5,46,3.3422448315354654,8.897844857059576,14.363888816033972,2.796739193214583,False
2018,Ben Simmons,simmobe01,NBA,2732.0,81,17.745901763055002,33.72839506172839,0.0,0.0,0.0,1,66,9.110416245036747,8.635485518018255,14.273389186887572,2.79048615131429,False
2023,Jimmy Butler,butleji01,NBA,2138.0,64,20.004391966713545,33.40625,13.48151324382541,1931.0,57.0,12,71,10.311703196503052,9.692688770210493,14.172553931617262,3.456641637090551,False
2012,Greg Monroe,monrogr01,NBA,2082.0,66,16.354239125200827,31.545454545454547,7.96856393234848,2222.0,80.0,2,60,6.553637520142708,9.80060160505812,14.141422508767041,3.25653215060868,False
2004,Lamar Odom,odomla01,NBA,3003.0,80,16.944184233435703,37.5375,1.3567258981245045,1679.0,49.0,5,52,9.043135308405216,7.901048925030487,13.691858970553394,2.572896940654918,False
2026,Jalen Johnson,johnsja05,NBA,1636.0,46,14.09140903677982,35.56521739130435,3.928504632705219,1284.0,36.0,5,74,3.5619685767844835,10.529440459995337,13.46780882071616,3.814257150359877,False
1991,Kenny Smith,smithke01,NBA,2699.0,78,11.450430161704038,34.6025641025641,-4.0535951771486625,2421.0,79.0,4,39,3.254988910719536,8.195441250984501,13.463990101311548,2.794965008647844,False
1996,Arvydas Sabonis,sabonar01,NBA,1735.0,73,12.148640642161958,23.767123287671232,0.0,0.0,0.0,1,44,2.06798248209181,10.080658160070147,13.278182315785081,3.285492783098852,False
1999,Grant Hill,hillgr01,NBA,1852.0,50,17.1816852655747,37.04,18.294941030405443,3294.0,81.0,5,47,7.470183683965454,9.711501581609246,13.21620834504727,2.7330896259775113,False
2010,Carlos Boozer,boozeca01,NBA,2673.0,78,16.17507323570149,34.26923076923077,1.5640961732436427,1197.0,37.0,8,58,8.098688515802838,8.076384719898652,13.20433329079551,2.714446375629856,False
